# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
32,64,147.06896551724137,0.003950817397672413,29
1,45,2.0,4.20877989803e-08,1
3,51,4.0,1.7067847430633332e-06,6
4,52,5.0,3.6670164230366665e-06,3
49,68,1056.057142857143,0.03341850447671714,35
16,63,22.96039603960396,0.0016639565590563365,101
17,62,25.941463414634146,0.0011219438494730288,205
18,61,29.0,0.0006755966684263637,11
24,62,58.64705882352941,0.001124213687596706,17
25,63,65.83333333333333,0.00220900380326125,48
45,68,670.9230769230769,0.02877601219353846,13
26,60,73.66666666666667,0.00029520756033622227,9
0,39,1.0,1.21437816573e-09,1
37,65,262.1666666666667,0.007056035068194168,24
12,62,14.5,0.0009762076011221116,224
3,56,4.0,3.264229135918e-05,40
4,51,5.0,1.98457825221e-06,1
6,57,7.0,5.8921811800859994e-05,5
51,67,1342.25,0.023334917396724997,4
7,60,8.0,0.00034960927873707706,285
11,57,12.666666666666666,5.7496887021933335e-05,3
41,67,422.4823529411765,0.018286651990948238,85
15,61,20.39080459770115,0.0006403899816698276,87
33,64,164.1,0.0037164114509169997,20
46,66,743.6666666666666,0.013775913523033333,3
2,60,3.0,0.00029005450547577954,313
22,59,45.5,0.000191382270528,2
4,58,5.0,0.00010721825041153537,164
8,61,9.0,0.0005578649547288671,248
5,59,6.0,0.00019524874056157075,219
9,56,10.0,3.307056128203333e-05,3
24,64,58.95652173913044,0.0033282026530417922,184
7,53,8.0,5.39931323258e-06,1
11,62,12.682539682539682,0.0009320293358411744,126
12,57,14.0,5.9238628747500005e-05,2
13,60,16.424242424242426,0.0003539385588129393,33
15,58,20.6,0.00010392960795426,5
19,63,32.60557768924303,0.0018341730883753788,251
0,53,1.0,5.44166262979254e-06,639
1,48,2.0,3.0787898096140006e-07,10
21,61,41.111111111111114,0.0006354901804366666,9
2,55,3.0,1.7395242307914898e-05,47
0,43,1.0,1.572561621273846e-08,13
62,69,4606.0,0.08519121859485,2
59,69,3364.5714285714284,0.06536332496181428,7
1,42,2.0,9.56023284729e-09,1
23,59,53.6,0.0001679108569709,10
36,65,234.48717948717947,0.007049784369998205,39
29,65,105.5390625,0.005739183761104295,128
16,58,22.5,0.0001032462148134,4
17,59,25.0,0.000206483424261,2
55,69,2166.714285714286,0.055987968117928576,7
43,67,528.9350649350649,0.02071872453097013,77
24,57,58.5,6.33568487366e-05,2
32,66,148.8235294117647,0.009024902184839706,34
48,66,892.0,0.0138286185196,1
3,53,4.0,5.592868678461001e-06,10
25,64,65.57317073170732,0.003449523796054819,164
38,66,297.6115702479339,0.012245309926678431,121
30,63,115.0,0.0019072560394733332,12
4,54,5.0,9.7562936191925e-06,8
5,55,6.0,2.0611163553700002e-05,5
54,66,1781.0,0.0129414872695,1
17,60,26.25,0.00036973511302550003,8
18,59,28.0,0.000176407498084,1
0,3,1.0,4.33680868994e-19,3
25,61,66.77777777777777,0.0006054578958229999,9
45,66,660.1666666666666,0.012523744975485002,6
