# 66,71
# 1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,25,28,31,35,39,44,50,56,63,70,79,89,100,112,125,141,158,177,199,223,251,281,316,354,398,446,501,562,630,707,794,891,1000,1122,1258,1412,1584,1778,1995,2238,2511,2818,3162,3548,3981,4466,5011,5623,6309
# 1.0842021724900008e-19,1.9541361611946712e-19,3.52208124405312e-19,6.348102315514583e-19,1.1441644929765328e-18,2.062210597628211e-18,3.716871634345816e-18,6.699187154839319e-18,1.2074430583197526e-17,2.1762621425367746e-17,3.9224350004789894e-17,7.069688909373884e-17,1.274221275029953e-16,2.2966213627676307e-16,4.1393671470417936e-16,7.460681440914768e-16,1.3446926930023311e-15,2.4236371073258797e-15,4.368296829881578e-15,7.87329800169937e-15,1.419061566501744e-14,2.5576775184779484e-14,4.609887578489008e-14,8.308734519023101e-14,1.4975434461730274e-13,2.69913109877465e-13,4.864839619171041e-13,8.768253061513173e-13,1.5803658037926446e-12,2.8484078370864646e-12,5.1338919045860334e-12,9.253185497106791e-12,1.6677686915726326e-11,3.0059403969147406e-11,5.4178242555229296e-11,9.764937353335399e-11,1.7600054379276162e-10,3.172185370423016e-10,5.717459621133091e-10,1.030499189110382e-09,1.8573433817215075e-09,3.3476246018231428e-09,6.033666464164805e-09,1.0874914403771704e-08,1.9600646471221817e-08,3.532766583951899e-08,6.367361278114669e-08,1.1476356753997695e-07,2.0684669613097097e-07,3.7281479320860313e-07,6.719511243591092e-07,1.2111062161496208e-06,2.1828645174084916e-06,3.9343349392671165e-06,7.091137031589391e-06,1.2780870255582635e-05,2.3035888851442002e-05,4.151925217644697e-05,7.483315761803105e-05,0.00013487722407153248,0.00024309899718649554,0.00043815494305945394,0.0007897184124546361,0.0014233667355551293,0.0025654370367123973,0.0046238731206324265,0.008333941675335724,0.015020867146630965,0.027073197608818936,0.04879598638421849,0.0879485431167999
0,58,1999
1,59,958
34,64,11
3,61,14
8,57,4
6,60,346
51,68,30
7,57,7
11,58,7
12,61,258
44,66,9
41,64,1
14,63,21
15,62,232
56,69,9
19,59,3
0,49,291
1,60,56
23,65,1
2,59,906
22,62,33
23,63,121
39,65,10
5,56,9
9,61,264
6,55,3
10,58,8
52,69,3
7,54,1
40,67,65
13,57,1
19,64,9
1,53,85
21,58,1
2,50,6
35,64,8
0,46,69
1,47,3
26,64,212
16,61,80
18,63,144
43,68,1
24,60,19
47,67,26
26,62,8
27,63,31
37,67,7
32,59,1
29,61,1
3,54,23
38,65,11
5,52,3
6,59,143
36,63,1
10,54,1
31,65,190
20,64,21
0,6,1
33,66,62
1,57,717
4,56,30
8,59,40
5,61,134
9,58,9
7,59,90
11,60,123
12,63,3
13,62,245
14,61,127
18,64,3
15,56,1
19,61,29
0,51,392
20,62,71
1,50,30
58,69,4
21,63,223
2,57,274
0,41,6
22,60,2
23,57,1
39,67,43
10,56,3
49,67,11
11,53,1
30,65,142
13,55,1
27,65,57
47,68,52
2,48,2
35,66,108
32,64,29
1,45,1
3,51,6
4,52,3
49,68,35
16,63,101
17,62,205
18,61,11
24,62,17
25,63,48
45,68,13
26,60,9
0,39,1
37,65,24
12,62,224
3,56,40
4,51,1
6,57,5
51,67,4
7,60,285
11,57,3
41,67,85
15,61,87
33,64,20
46,66,3
2,60,313
22,59,2
4,58,164
8,61,248
5,59,219
9,56,3
24,64,184
7,53,1
11,62,126
12,57,2
13,60,33
15,58,5
19,63,251
0,53,639
1,48,10
21,61,9
2,55,47
0,43,13
62,69,2
59,69,7
1,42,1
23,59,10
36,65,39
29,65,128
16,58,4
17,59,2
55,69,7
43,67,77
24,57,2
32,66,34
48,66,1
3,53,10
25,64,164
38,66,121
30,63,12
4,54,8
5,55,5
54,66,1
17,60,8
18,59,1
0,3,3
25,61,9
45,66,6
26,58,3
